model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.472625,0.0025,0.99375,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.68025,0.085,1.0,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.802625,0.22375,1.0,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.89475,0.425,1.0,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.963875,0.74125,1.0,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.986875,0.89,1.0,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.996625,0.96875,1.0,0.36819874999991953,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.49625,0.00375,0.99625,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.7033750000000001,0.09125,1.0,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.823875,0.26125,1.0,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,100,0.90675,0.4775,1.0,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,250,0.971375,0.7875,1.0,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,500,0.990625,0.91625,1.0,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,1000,0.9983749999999999,0.985,1.0,0.4836245000001327,0.0,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,10,0.5373749999999999,0.005,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,25,0.76325,0.1375,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,50,0.8798750000000001,0.4025,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,100,0.95125,0.6825,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,250,0.989125,0.915,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,500,0.9976249999999999,0.97875,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_top256,3000,2000,800,800,512,256,10,1000,0.9997499999999999,0.99875,1.0,0.35697799999979907,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,10,0.5325,0.0025,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,25,0.75575,0.14,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,50,0.8846250000000001,0.39875,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,100,0.9532500000000002,0.6725,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,250,0.9915,0.9275,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,500,0.9986250000000001,0.98875,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,learned_weighted_bank,3000,2000,800,800,512,512,10,1000,1.0,1.0,1.0,0.47100837499954196,9.422705100000258,2.5052378177642822
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.481875,0.0025,0.9975,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.6926249999999999,0.09125,1.0,0.3369114999998146,0.0,2.518106698989868
intfloat/e5-small-v2,experiments\robustness_3k_general_rerun\outputs\embeddings\intfloat__e5_small_v2_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.8121250000000001,0.2575,1.0,0.3369114999998146,0.0,2.518106698989868
