model,embedding_file,strategy,doc_count,train_docs,train_queries,eval_queries,candidate_anchor_count,anchor_count,top_k,pool_size,mean_recall,all_top_k_contained,any_hit,search_ms_per_query,train_seconds,final_train_loss
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,10,0.47625,0.0075,0.99375,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,25,0.6863749999999998,0.085,1.0,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,50,0.80975,0.21125,1.0,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,100,0.900375,0.4525,1.0,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,250,0.970375,0.78875,1.0,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,500,0.9892500000000001,0.9125,1.0,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,random_row_zscore,3000,2000,800,800,512,256,10,1000,0.99775,0.97875,1.0,0.7723298750033791,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,10,0.501375,0.00375,0.99625,0.8632959999977174,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,25,0.710375,0.0925,1.0,0.8632959999977174,0.0,2.7151312828063965
BAAI/bge-small-en-v1.5,experiments\robustness_3k_general_rerun\outputs\embeddings\BAAI__bge_small_en_v1.5_n3000_tok160.npy,farthest_row_zscore,3000,2000,800,800,512,256,10,50,0.8328749999999999,0.26625,1.0,0.8632959999977174,0.0,2.7151312828063965
