metric,doc_count,data_mode,method,anchor_count,ridge_reg,pool_size,mean_recall,all_top_k_contained,any_hit,ms_per_query,prep_seconds,build_seconds,vector_mb
quality,1000,real_subset,cosine_relation,800,0.0,10,0.7980000000000002,0.175,,0.025497500009805663,0.11071069999889005,0.0,3.2
quality,1000,real_subset,cosine_relation,800,0.0,25,0.9335,0.665,,0.025497500009805663,0.11071069999889005,0.0,3.2
quality,1000,real_subset,ridge_bilinear,800,0.03,10,0.9165000000000001,0.475,,0.02194549999330775,0.11071069999889005,0.0,1.536
quality,1000,real_subset,ridge_bilinear,800,0.03,25,0.9875,0.92,,0.02194549999330775,0.11071069999889005,0.0,1.536
hnsw_latency,1000,real_subset,ridge_bilinear,800,0.03,10,nan,nan,nan,0.01916499999788357,0.11071069999889005,0.045595800002047326,1.536
quality,3000,real_subset,cosine_relation,1024,0.0,10,0.7794000000000001,0.114,,0.05458780000481056,0.15305589999843505,0.0,12.288
quality,3000,real_subset,cosine_relation,1024,0.0,25,0.9214000000000001,0.656,,0.05458780000481056,0.15305589999843505,0.0,12.288
quality,3000,real_subset,ridge_bilinear,1024,0.03,10,0.9472,0.572,,0.0360551999983727,0.15305589999843505,0.0,4.608
quality,3000,real_subset,ridge_bilinear,1024,0.03,25,0.9996,0.996,,0.0360551999983727,0.15305589999843505,0.0,4.608
hnsw_latency,3000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.030447600001934916,0.15305589999843505,0.12016220000077737,4.608
quality,10000,real_subset,cosine_relation,1024,0.0,10,0.791,0.152,,0.21677959999942686,0.4308369999998831,0.0,40.96
quality,10000,real_subset,cosine_relation,1024,0.0,25,0.9215999999999999,0.654,,0.21677959999942686,0.4308369999998831,0.0,40.96
quality,10000,real_subset,ridge_bilinear,1024,0.03,10,0.9658,0.708,,0.1307574000020395,0.4308369999998831,0.0,15.36
quality,10000,real_subset,ridge_bilinear,1024,0.03,25,0.9997999999999999,0.998,,0.1307574000020395,0.4308369999998831,0.0,15.36
hnsw_latency,10000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.0451286000024993,0.4308369999998831,0.6163651999995636,15.36
quality,100000,real_subset,cosine_relation,1024,0.0,10,0.8006,0.142,,1.6440485999992234,3.8546975999997812,0.0,409.6
quality,100000,real_subset,cosine_relation,1024,0.0,25,0.9354,0.686,,1.6440485999992234,3.8546975999997812,0.0,409.6
quality,100000,real_subset,ridge_bilinear,1024,0.03,10,0.9804,0.81,,0.8814390000043204,3.8546975999997812,0.0,153.6
quality,100000,real_subset,ridge_bilinear,1024,0.03,25,1.0,1.0,,0.8814390000043204,3.8546975999997812,0.0,153.6
hnsw_latency,100000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.11533780000172555,3.8546975999997812,10.868915700000798,153.6
