metric,doc_count,data_mode,method,anchor_count,ridge_reg,pool_size,mean_recall,all_top_k_contained,any_hit,ms_per_query,prep_seconds,build_seconds,vector_mb
quality,1000,real_subset,cosine_relation,800,0.0,10,0.6685,0.01,,0.045259500002430286,0.23182749999978114,0.0,3.2
quality,1000,real_subset,cosine_relation,800,0.0,25,0.862,0.385,,0.045259500002430286,0.23182749999978114,0.0,3.2
quality,1000,real_subset,ridge_bilinear,800,0.03,10,0.8865000000000001,0.26,,0.04256749998603482,0.23182749999978114,0.0,1.536
quality,1000,real_subset,ridge_bilinear,800,0.03,25,0.9954999999999999,0.955,,0.04256749998603482,0.23182749999978114,0.0,1.536
hnsw_latency,1000,real_subset,ridge_bilinear,800,0.03,10,nan,nan,nan,0.03139599999121856,0.23182749999978114,0.049762200003897306,1.536
quality,3000,real_subset,cosine_relation,1024,0.0,10,0.6172,0.024,,0.07351800000469666,0.3321501999962493,0.0,12.288
quality,3000,real_subset,cosine_relation,1024,0.0,25,0.811,0.31,,0.07351800000469666,0.3321501999962493,0.0,12.288
quality,3000,real_subset,ridge_bilinear,1024,0.03,10,0.9232,0.406,,0.0543069999985164,0.3321501999962493,0.0,4.608
quality,3000,real_subset,ridge_bilinear,1024,0.03,25,0.999,0.99,,0.0543069999985164,0.3321501999962493,0.0,4.608
hnsw_latency,3000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.05472339999687392,0.3321501999962493,0.17643369999859715,4.608
quality,10000,real_subset,cosine_relation,1024,0.0,10,0.6148,0.01,,0.2646798000059789,0.652977000005194,0.0,40.96
quality,10000,real_subset,cosine_relation,1024,0.0,25,0.8096000000000001,0.274,,0.2646798000059789,0.652977000005194,0.0,40.96
quality,10000,real_subset,ridge_bilinear,1024,0.03,10,0.9536000000000001,0.578,,0.18599499999254476,0.652977000005194,0.0,15.36
quality,10000,real_subset,ridge_bilinear,1024,0.03,25,1.0,1.0,,0.18599499999254476,0.652977000005194,0.0,15.36
hnsw_latency,10000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.0998120000003837,0.652977000005194,1.0522552999973414,15.36
quality,100000,real_subset,cosine_relation,1024,0.0,10,0.6038,0.012,,1.5543755999970017,5.313503400000627,0.0,409.6
quality,100000,real_subset,cosine_relation,1024,0.0,25,0.7898000000000001,0.23,,1.5543755999970017,5.313503400000627,0.0,409.6
quality,100000,real_subset,ridge_bilinear,1024,0.03,10,0.9638000000000001,0.676,,0.9299507999967318,5.313503400000627,0.0,153.6
quality,100000,real_subset,ridge_bilinear,1024,0.03,25,1.0,1.0,,0.9299507999967318,5.313503400000627,0.0,153.6
hnsw_latency,100000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.18427680000604596,5.313503400000627,21.891735199998948,153.6
quality,200000,real_subset,cosine_relation,1024,0.0,10,0.5635999999999999,0.006,,3.219096000000718,8.769738599999982,0.0,819.2
quality,200000,real_subset,cosine_relation,1024,0.0,25,0.763,0.172,,3.219096000000718,8.769738599999982,0.0,819.2
quality,200000,real_subset,ridge_bilinear,1024,0.03,10,0.9614,0.644,,1.9842227999906754,8.769738599999982,0.0,307.2
quality,200000,real_subset,ridge_bilinear,1024,0.03,25,1.0,1.0,,1.9842227999906754,8.769738599999982,0.0,307.2
hnsw_latency,200000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.20050780000747181,8.769738599999982,51.82681800000137,307.2
