metric,doc_count,data_mode,method,anchor_count,ridge_reg,pool_size,mean_recall,all_top_k_contained,any_hit,ms_per_query,prep_seconds,build_seconds,vector_mb
quality,1000,real_subset,cosine_relation,800,0.0,10,0.5945,0.005,,0.16121549999297713,0.23664560000179335,0.0,3.2
quality,1000,real_subset,cosine_relation,800,0.0,25,0.8055,0.19,,0.16121549999297713,0.23664560000179335,0.0,3.2
quality,1000,real_subset,ridge_bilinear,800,0.03,10,0.867,0.185,,0.08469700000205194,0.23664560000179335,0.0,1.536
quality,1000,real_subset,ridge_bilinear,800,0.03,25,0.9984999999999999,0.985,,0.08469700000205194,0.23664560000179335,0.0,1.536
hnsw_latency,1000,real_subset,ridge_bilinear,800,0.03,10,nan,nan,nan,0.1777760000040871,0.23664560000179335,0.06435299999793642,1.536
quality,3000,real_subset,cosine_relation,1024,0.0,10,0.615,0.008,,0.38805799999681767,0.3232239999997546,0.0,12.288
quality,3000,real_subset,cosine_relation,1024,0.0,25,0.8254000000000001,0.266,,0.38805799999681767,0.3232239999997546,0.0,12.288
quality,3000,real_subset,ridge_bilinear,1024,0.03,10,0.9070000000000001,0.304,,0.404054399994493,0.3232239999997546,0.0,4.608
quality,3000,real_subset,ridge_bilinear,1024,0.03,25,0.9992000000000001,0.992,,0.404054399994493,0.3232239999997546,0.0,4.608
hnsw_latency,3000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.5423373999947216,0.3232239999997546,0.17266109999764012,4.608
quality,10000,real_subset,cosine_relation,1024,0.0,10,0.6607999999999999,0.024,,1.0622626000040327,0.601063999998587,0.0,40.96
quality,10000,real_subset,cosine_relation,1024,0.0,25,0.8554,0.384,,1.0622626000040327,0.601063999998587,0.0,40.96
quality,10000,real_subset,ridge_bilinear,1024,0.03,10,0.9224000000000001,0.416,,0.5921516000016709,0.601063999998587,0.0,15.36
quality,10000,real_subset,ridge_bilinear,1024,0.03,25,0.9992000000000001,0.994,,0.5921516000016709,0.601063999998587,0.0,15.36
hnsw_latency,10000,real_subset,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.6474498000025051,0.601063999998587,1.1134433000006538,15.36
hnsw_latency,100000,synthetic_expanded,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.5704947999984142,5.59430539999812,20.50692689999778,153.6
hnsw_latency,200000,synthetic_expanded,ridge_bilinear,1024,0.03,10,nan,nan,nan,0.5047770000019227,11.151794500001415,42.14672750000318,307.2
