count,query_type,recall_at_10,system
3,dunder,0.8666666666666667,raw_hnsw_low_ef
5,error_handling,0.8800000000000001,raw_hnsw_low_ef
2,io,0.9,raw_hnsw_low_ef
3,long,0.8666666666666666,raw_hnsw_low_ef
5,medium,0.8400000000000001,raw_hnsw_low_ef
2,test_assert,0.9,raw_hnsw_low_ef
3,dunder,0.8666666666666667,ridge_relation_pool25
5,error_handling,0.8800000000000001,ridge_relation_pool25
2,io,0.9,ridge_relation_pool25
3,long,0.8666666666666666,ridge_relation_pool25
5,medium,0.86,ridge_relation_pool25
2,test_assert,0.9,ridge_relation_pool25
3,dunder,0.8666666666666667,ridge_relation_pool50
5,error_handling,0.8800000000000001,ridge_relation_pool50
2,io,0.9,ridge_relation_pool50
3,long,0.8666666666666666,ridge_relation_pool50
5,medium,0.8400000000000001,ridge_relation_pool50
2,test_assert,0.9,ridge_relation_pool50
3,dunder,0.8666666666666667,bm25_dense_hybrid
5,error_handling,0.8800000000000001,bm25_dense_hybrid
2,io,0.9,bm25_dense_hybrid
3,long,0.8666666666666666,bm25_dense_hybrid
5,medium,0.8400000000000001,bm25_dense_hybrid
2,test_assert,0.9,bm25_dense_hybrid
3,dunder,0.7999999999999999,cluster_ivf_baseline
5,error_handling,0.64,cluster_ivf_baseline
2,io,0.8,cluster_ivf_baseline
3,long,0.8333333333333334,cluster_ivf_baseline
5,medium,0.74,cluster_ivf_baseline
2,test_assert,0.7,cluster_ivf_baseline
