model,top_k,pool_size,mean_recall,all_top_k_contained,any_hit
microsoft/codebert-base,1,10,0.7916666666666666,0.7916666666666666,0.7916666666666666
microsoft/codebert-base,1,25,0.9083333333333333,0.9083333333333333,0.9083333333333333
microsoft/codebert-base,1,50,0.975,0.975,0.975
microsoft/codebert-base,1,75,0.975,0.975,0.975
microsoft/codebert-base,1,100,0.975,0.975,0.975
microsoft/codebert-base,5,10,0.6916666666666667,0.2,0.9916666666666667
microsoft/codebert-base,5,25,0.8583333333333333,0.5833333333333334,1.0
microsoft/codebert-base,5,50,0.9766666666666667,0.8916666666666667,1.0
microsoft/codebert-base,5,75,0.995,0.975,1.0
microsoft/codebert-base,5,100,0.995,0.975,1.0
microsoft/codebert-base,10,10,0.5724999999999999,0.0,1.0
microsoft/codebert-base,10,25,0.7883333333333333,0.23333333333333334,1.0
microsoft/codebert-base,10,50,0.9400000000000001,0.5583333333333333,1.0
microsoft/codebert-base,10,75,0.995,0.95,1.0
microsoft/codebert-base,10,100,0.9966666666666666,0.9666666666666667,1.0
Salesforce/codet5-small,1,10,0.8333333333333334,0.8333333333333334,0.8333333333333334
Salesforce/codet5-small,1,25,0.9583333333333334,0.9583333333333334,0.9583333333333334
Salesforce/codet5-small,1,50,0.9916666666666667,0.9916666666666667,0.9916666666666667
Salesforce/codet5-small,1,75,1.0,1.0,1.0
Salesforce/codet5-small,1,100,1.0,1.0,1.0
Salesforce/codet5-small,5,10,0.7716666666666667,0.3416666666666667,1.0
Salesforce/codet5-small,5,25,0.9450000000000001,0.775,1.0
Salesforce/codet5-small,5,50,0.995,0.975,1.0
Salesforce/codet5-small,5,75,1.0,1.0,1.0
Salesforce/codet5-small,5,100,1.0,1.0,1.0
Salesforce/codet5-small,10,10,0.6375,0.0,1.0
Salesforce/codet5-small,10,25,0.905,0.425,1.0
Salesforce/codet5-small,10,50,0.9924999999999999,0.9333333333333333,1.0
Salesforce/codet5-small,10,75,1.0,1.0,1.0
Salesforce/codet5-small,10,100,1.0,1.0,1.0
microsoft/unixcoder-base,1,10,0.875,0.875,0.875
microsoft/unixcoder-base,1,25,0.9166666666666666,0.9166666666666666,0.9166666666666666
microsoft/unixcoder-base,1,50,0.95,0.95,0.95
microsoft/unixcoder-base,1,75,0.9833333333333333,0.9833333333333333,0.9833333333333333
microsoft/unixcoder-base,1,100,1.0,1.0,1.0
microsoft/unixcoder-base,5,10,0.7433333333333335,0.4083333333333333,0.9833333333333333
microsoft/unixcoder-base,5,25,0.8516666666666667,0.5833333333333334,1.0
microsoft/unixcoder-base,5,50,0.92,0.75,1.0
microsoft/unixcoder-base,5,75,0.9783333333333334,0.9166666666666666,1.0
microsoft/unixcoder-base,5,100,1.0,1.0,1.0
microsoft/unixcoder-base,10,10,0.5833333333333334,0.008333333333333333,0.9916666666666667
microsoft/unixcoder-base,10,25,0.7625000000000001,0.25,1.0
microsoft/unixcoder-base,10,50,0.8691666666666668,0.4166666666666667,1.0
microsoft/unixcoder-base,10,75,0.9683333333333335,0.7916666666666666,1.0
microsoft/unixcoder-base,10,100,0.9991666666666668,0.9916666666666667,1.0
